DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/29/2016,18:30,MANHATTAN,10002,40.7142086,-73.9948417,"(40.714209, -73.994842)",MARKET STREET,DIVISION STREET,,0,0,0,0,0,0,0,0,,,,,,3405698,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,19:20,MANHATTAN,10002,40.7216331,-73.9935279,"(40.721633, -73.993528)",BOWERY,RIVINGTON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405699,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,14:40,MANHATTAN,10013,40.7147357,-73.9975976,"(40.714736, -73.997598)",,,10 PELL STREET,0,0,0,0,0,0,0,0,,,,,,3405700,SMALL COM VEH(4 TIRES),,,,
03/30/2016,13:00,MANHATTAN,10038,40.7131904,-73.9999387,"(40.71319, -73.999939)",,,180 PARK ROW,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405701,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/30/2016,19:50,MANHATTAN,10012,40.7223002,-73.9971211,"(40.7223, -73.997121)",LAFAYETTE STREET,SPRING STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3405703,PASSENGER VEHICLE,BICYCLE,,,
03/30/2016,18:05,MANHATTAN,10012,40.7226626,-73.9979797,"(40.722663, -73.99798)",CROSBY STREET,SPRING STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405704,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
03/30/2016,22:30,MANHATTAN,10012,40.7212159,-73.9944515,"(40.721216, -73.994451)",,,9 SPRING STREET,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405705,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
03/30/2016,20:30,MANHATTAN,10013,40.7168135,-73.9977634,"(40.716814, -73.997763)",CANAL STREET,MOTT STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3405706,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,6:20,,,,,,BROOKLYN BRIDGE,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405707,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/31/2016,6:40,MANHATTAN,10013,40.7184302,-74.0005303,"(40.71843, -74.00053)",CANAL STREET,LAFAYETTE STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3405708,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/31/2016,7:00,MANHATTAN,10038,40.7098802,-73.9962523,"(40.70988, -73.996252)",,,10 CATHERINE SLIP,0,0,0,0,0,0,0,0,,,,,,3405709,PASSENGER VEHICLE,OTHER,,,
03/31/2016,11:00,MANHATTAN,10012,40.724658,-73.9974132,"(40.724658, -73.997413)",,,580 BROADWAY,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3405710,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/31/2016,13:20,MANHATTAN,10013,40.7178098,-73.9969084,"(40.71781, -73.996908)",,,173 HESTER STREET,0,0,0,0,0,0,0,0,Oversized Vehicle,Oversized Vehicle,,,,3405711,PASSENGER VEHICLE,,,,
03/30/2016,23:25,,,,,,BOWERY,CANAL STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3405712,PASSENGER VEHICLE,,,,
03/31/2016,16:20,,,40.7093641,-73.9942915,"(40.709364, -73.994291)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405713,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/31/2016,20:37,,,40.7087666,-73.9981083,"(40.708767, -73.998108)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405715,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2016,4:00,MANHATTAN,10013,40.7168135,-73.9977634,"(40.716814, -73.997763)",CANAL STREET,MOTT STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405716,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2016,5:45,MANHATTAN,10013,40.7210624,-73.9981962,"(40.721062, -73.998196)",LAFAYETTE STREET,BROOME STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405717,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
04/01/2016,10:35,MANHATTAN,10012,40.7214494,-73.9973989,"(40.721449, -73.997399)",KENMARE STREET,CLEVELAND PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405718,PASSENGER VEHICLE,,,,
04/01/2016,12:40,,,,,,BROOKLYN BRIDGE,PARK ROW,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,3405719,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2016,13:50,MANHATTAN,10013,40.7156332,-73.9984921,"(40.715633, -73.998492)",BAYARD STREET,MOTT STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405721,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2016,13:00,MANHATTAN,10038,40.7101767,-74.0011362,"(40.710177, -74.001136)",PEARL STREET,ROBERT F WAGNER PLACE,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3405722,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2016,0:00,MANHATTAN,10013,40.7182627,-74.000671,"(40.718263, -74.000671)",,,113 LAFAYETTE STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405723,AMBULANCE,PASSENGER VEHICLE,,,
04/02/2016,0:10,,,,,,BROOME STREET,BOWERY,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405724,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
